ip.src,ip.dst,tcp.dstport,ip.len,frame.time_delta_displayed,Satus
10.18.20.97,8.208.24.139,80,40,0.076956,1
10.18.20.97,8.208.24.139,80,40,0.074631,1
10.18.20.97,8.208.24.139,80,40,0.074011,1
10.18.20.97,8.208.24.139,80,40,0.071727,1
10.18.20.97,8.208.24.139,80,40,0.07002,1
10.18.20.97,8.208.24.139,80,40,0.06851,1
10.18.20.97,8.208.24.139,80,40,0.068205,1
10.18.20.97,8.208.24.139,80,40,0.067795,1
10.18.20.97,8.208.24.139,80,40,0.066517,1
10.18.20.97,8.208.24.139,80,40,0.063772,1
10.18.20.97,8.208.24.139,80,40,0.062752,1
10.18.20.97,8.208.24.139,80,40,0.062658,1
10.18.20.97,8.208.24.139,80,40,0.061222,1
10.18.20.97,8.208.24.139,80,40,0.058586,1
10.18.20.97,8.208.24.139,80,40,0.05753,1
10.18.20.97,8.208.24.139,80,40,0.057494,1
10.18.20.97,8.208.24.139,80,40,0.057218,1
10.18.20.97,8.208.24.139,80,40,0.056313,1
10.18.20.97,8.208.24.139,80,40,0.055519,1
10.18.20.97,8.208.24.139,80,40,0.050439,1
10.18.20.97,8.208.24.139,80,40,0.046769,1
10.18.20.97,8.208.24.139,80,40,0.044778,1
10.18.20.97,8.208.24.139,80,40,0.044038,1
10.18.20.97,8.208.24.139,80,40,0.043419,1
10.18.20.97,8.208.24.139,80,40,0.042189,1
10.18.20.97,8.208.24.139,80,40,0.042178,1
10.18.20.97,8.208.24.139,80,40,0.0414,1
10.18.20.97,8.208.24.139,80,40,0.04109,1
10.18.20.97,8.208.24.139,80,40,0.040321,1
10.18.20.97,8.208.24.139,80,40,0.040085,1
10.18.20.97,8.208.24.139,80,40,0.039486,1
10.18.20.97,8.208.24.139,80,40,0.038068,1
10.18.20.97,8.208.24.139,80,40,0.037713,1
10.18.20.97,8.208.24.139,80,40,0.036935,1
10.18.20.97,8.208.24.139,80,40,0.03568,1
10.18.20.97,8.208.24.139,80,40,0.033386,1
10.18.20.97,8.208.24.139,80,40,0.03336,1
10.18.20.97,8.208.24.139,80,40,0.030801,1
10.18.20.97,8.208.24.139,80,40,0.030729,1
10.18.20.97,8.208.24.139,80,40,0.030715,1
10.18.20.97,8.208.24.139,80,40,0.030529,1
10.18.20.97,8.208.24.139,80,40,0.02859,1
10.18.20.97,8.208.24.139,80,40,0.027786,1
10.18.20.97,8.208.24.139,80,40,0.027332,1
10.18.20.97,8.208.24.139,80,40,0.027271,1
10.18.20.97,8.208.24.139,80,40,0.026697,1
10.18.20.97,8.208.24.139,80,40,0.026379,1
10.18.20.97,8.208.24.139,80,40,0.026294,1
10.18.20.97,8.208.24.139,80,40,0.026062,1
10.18.20.97,8.208.24.139,80,40,0.025964,1
10.18.20.97,8.208.24.139,80,40,0.023712,1
10.18.20.97,8.208.24.139,80,40,0.022976,1
10.18.20.97,8.208.24.139,80,40,0.022822,1
10.18.20.97,8.208.24.139,80,40,0.021965,1
10.18.20.97,8.208.24.139,80,40,0.021579,1
10.18.20.97,8.208.24.139,80,40,0.021495,1
10.18.20.97,8.208.24.139,80,40,0.021294,1
10.18.20.97,8.208.24.139,80,40,0.020617,1
10.18.20.97,8.208.24.139,80,40,0.019474,1
10.18.20.97,8.208.24.139,80,40,0.01911,1
10.18.20.97,8.208.24.139,80,40,0.018787,1
10.18.20.97,8.208.24.139,80,40,0.018751,1
10.18.20.97,8.208.24.139,80,40,0.018538,1
10.18.20.97,8.208.24.139,80,40,0.017843,1
10.18.20.97,8.208.24.139,80,40,0.017464,1
10.18.20.97,8.208.24.139,80,40,0.017438,1
10.18.20.97,8.208.24.139,80,40,0.017179,1
10.18.20.97,8.208.24.139,80,40,0.016301,1
10.18.20.97,8.208.24.139,80,40,0.016132,1
10.18.20.97,8.208.24.139,80,40,0.016069,1
10.18.20.97,8.208.24.139,80,40,0.015736,1
10.18.20.97,8.208.24.139,80,40,0.015107,1
10.18.20.97,8.208.24.139,80,40,0.015021,1
10.18.20.97,8.208.24.139,80,40,0.014232,1
10.18.20.97,8.208.24.139,80,40,0.014196,1
10.18.20.97,8.208.24.139,80,40,0.014167,1
10.18.20.97,8.208.24.139,80,40,0.014083,1
10.18.20.97,8.208.24.139,80,40,0.013612,1
10.18.20.97,8.208.24.139,80,40,0.01328,1
10.18.20.97,8.208.24.139,80,40,0.013197,1
10.18.20.97,8.208.24.139,80,40,0.013104,1
10.18.20.97,8.208.24.139,80,40,0.013002,1
10.18.20.97,8.208.24.139,80,40,0.012915,1
10.18.20.97,8.208.24.139,80,40,0.012515,1
10.18.20.97,8.208.24.139,80,40,0.012455,1
10.18.20.97,8.208.24.139,80,40,0.012399,1
10.18.20.97,8.208.24.139,80,40,0.012087,1
10.18.20.97,8.208.24.139,80,40,0.01201,1
10.18.20.97,8.208.24.139,80,40,0.011855,1
10.18.20.97,8.208.24.139,80,40,0.011842,1
10.18.20.97,8.208.24.139,80,40,0.011836,1
10.18.20.97,8.208.24.139,80,40,0.011728,1
10.18.20.97,8.208.24.139,80,40,0.011648,1
10.18.20.97,8.208.24.139,80,40,0.011591,1
10.18.20.97,8.208.24.139,80,40,0.011426,1
10.18.20.97,8.208.24.139,80,40,0.011398,1
10.18.20.97,8.208.24.139,80,40,0.010984,1
10.18.20.97,8.208.24.139,80,40,0.010764,1
10.18.20.97,8.208.24.139,80,40,0.010384,1
10.18.20.97,8.208.24.139,80,40,0.010335,1
10.18.20.97,8.208.24.139,80,40,0.010323,1
10.18.20.97,8.208.24.139,80,40,0.009696,1
10.18.20.97,8.208.24.139,80,40,0.009669,1
10.18.20.97,8.208.24.139,80,40,0.00946,1
10.18.20.97,8.208.24.139,80,40,0.009116,1
10.18.20.97,8.208.24.139,80,40,0.008644,1
10.18.20.97,8.208.24.139,80,40,0.008632,1
10.18.20.97,8.208.24.139,80,40,0.008337,1
10.18.20.97,8.208.24.139,80,40,0.008271,1
10.18.20.97,8.208.24.139,80,40,0.008048,1
10.18.20.97,8.208.24.139,80,40,0.007694,1
10.18.20.97,8.208.24.139,80,40,0.007313,1
10.18.20.97,8.208.24.139,80,40,0.0073,1
10.18.20.97,8.208.24.139,80,40,0.007259,1
10.18.20.97,8.208.24.139,80,40,0.00682,1
10.18.20.97,8.208.24.139,80,40,0.006752,1
10.18.20.97,8.208.24.139,80,40,0.006465,1
10.18.20.97,8.208.24.139,80,40,0.006352,1
10.18.20.97,8.208.24.139,80,40,0.006153,1
10.18.20.97,8.208.24.139,80,40,0.006089,1
10.18.20.97,8.208.24.139,80,40,0.006015,1
10.18.20.97,8.208.24.139,80,40,0.005947,1
10.18.20.97,8.208.24.139,80,40,0.005827,1
10.18.20.97,8.208.24.139,80,40,0.005665,1
10.18.20.97,8.208.24.139,80,40,0.00563,1
10.18.20.97,8.208.24.139,80,40,0.005623,1
10.18.20.97,8.208.24.139,80,40,0.005447,1
10.18.20.97,8.208.24.139,80,40,0.005234,1
10.18.20.97,8.208.24.139,80,40,0.005161,1
10.18.20.97,8.208.24.139,80,40,0.005157,1
10.18.20.97,8.208.24.139,80,40,0.004819,1
10.18.20.97,8.208.24.139,80,40,0.004759,1
10.18.20.97,8.208.24.139,80,40,0.004506,1
10.18.20.97,8.208.24.139,80,40,0.004501,1
10.18.20.97,8.208.24.139,80,40,0.004428,1
10.18.20.97,8.208.24.139,80,40,0.004085,1
10.18.20.97,8.208.24.139,80,40,0.004049,1
10.18.20.97,8.208.24.139,80,40,0.004008,1
10.18.20.97,8.208.24.139,80,40,0.003798,1
10.18.20.97,8.208.24.139,80,40,0.003753,1
10.18.20.97,8.208.24.139,80,40,0.003686,1
10.18.20.97,8.208.24.139,80,40,0.003666,1
10.18.20.97,8.208.24.139,80,40,0.003632,1
10.18.20.97,8.208.24.139,80,40,0.00363,1
10.18.20.97,8.208.24.139,80,40,0.003584,1
10.18.20.97,8.208.24.139,80,40,0.003433,1
10.18.20.97,8.208.24.139,80,40,0.003422,1
10.18.20.97,8.208.24.139,80,40,0.003418,1
10.18.20.97,8.208.24.139,80,40,0.003237,1
10.18.20.97,8.208.24.139,80,40,0.003216,1
10.18.20.97,8.208.24.139,80,40,0.003199,1
10.18.20.97,8.208.24.139,80,40,0.002983,1
10.18.20.97,8.208.24.139,80,40,0.002928,1
10.18.20.97,8.208.24.139,80,40,0.002922,1
10.18.20.97,8.208.24.139,80,40,0.002836,1
10.18.20.97,8.208.24.139,80,40,0.002814,1
10.18.20.97,8.208.24.139,80,40,0.0028,1
10.18.20.97,8.208.24.139,80,40,0.002759,1
10.18.20.97,8.208.24.139,80,40,0.00269,1
10.18.20.97,8.208.24.139,80,40,0.002683,1
10.18.20.97,8.208.24.139,80,40,0.002626,1
10.18.20.97,8.208.24.139,80,40,0.002563,1
10.18.20.97,8.208.24.139,80,40,0.002479,1
10.18.20.97,8.208.24.139,80,40,0.002413,1
10.18.20.97,8.208.24.139,80,40,0.002382,1
10.18.20.97,8.208.24.139,80,40,0.00234,1
10.18.20.97,8.208.24.139,80,40,0.002296,1
10.18.20.97,8.208.24.139,80,40,0.002277,1
10.18.20.97,8.208.24.139,80,40,0.002141,1
10.18.20.97,8.208.24.139,80,40,0.002084,1
10.18.20.97,8.208.24.139,80,40,0.002078,1
10.18.20.97,8.208.24.139,80,40,0.002075,1
10.18.20.97,8.208.24.139,80,40,0.001984,1
10.18.20.97,8.208.24.139,80,40,0.001966,1
10.18.20.97,8.208.24.139,80,40,0.001953,1
10.18.20.97,8.208.24.139,80,40,0.001921,1
10.18.20.97,8.208.24.139,80,40,0.001861,1
10.18.20.97,8.208.24.139,80,40,0.001835,1
10.18.20.97,8.208.24.139,80,40,0.001823,1
10.18.20.97,8.208.24.139,80,40,0.001814,1
10.18.20.97,8.208.24.139,80,40,0.001767,1
10.18.20.97,8.208.24.139,80,40,0.001762,1
10.18.20.97,8.208.24.139,80,40,0.001556,1
10.18.20.97,8.208.24.139,80,40,0.00155,1
10.18.20.97,8.208.24.139,80,40,0.00155,1
10.18.20.97,8.208.24.139,80,40,0.001538,1
10.18.20.97,8.208.24.139,80,40,0.001535,1
10.18.20.97,8.208.24.139,80,40,0.00148,1
10.18.20.97,8.208.24.139,80,40,0.001463,1
10.18.20.97,8.208.24.139,80,40,0.001436,1
10.18.20.97,8.208.24.139,80,40,0.001436,1
10.18.20.97,8.208.24.139,80,40,0.001432,1
10.18.20.97,8.208.24.139,80,40,0.001426,1
10.18.20.97,8.208.24.139,80,40,0.001412,1
10.18.20.97,8.208.24.139,80,40,0.001407,1
10.18.20.97,8.208.24.139,80,40,0.00134,1
10.18.20.97,8.208.24.139,80,40,0.001333,1
10.18.20.97,8.208.24.139,80,40,0.001321,1
10.18.20.97,8.208.24.139,80,40,0.001317,1
10.18.20.97,8.208.24.139,80,40,0.001312,1
10.18.20.97,8.208.24.139,80,40,0.001306,1
10.18.20.97,8.208.24.139,80,40,0.001301,1
10.18.20.97,8.208.24.139,80,40,0.001296,1
10.18.20.97,8.208.24.139,80,40,0.001292,1
10.18.20.97,8.208.24.139,80,40,0.00128,1
10.18.20.97,8.208.24.139,80,40,0.001275,1
10.18.20.97,8.208.24.139,80,40,0.001261,1
10.18.20.97,8.208.24.139,80,40,0.001222,1
10.18.20.97,8.208.24.139,80,40,0.001213,1
10.18.20.97,8.208.24.139,80,40,0.001181,1
10.18.20.97,8.208.24.139,80,40,0.001181,1
10.18.20.97,8.208.24.139,80,40,0.00117,1
10.18.20.97,8.208.24.139,80,40,0.001149,1
10.18.20.97,8.208.24.139,80,40,0.001148,1
10.18.20.97,8.208.24.139,80,40,0.001145,1
10.18.20.97,8.208.24.139,80,40,0.001143,1
10.18.20.97,8.208.24.139,80,40,0.001136,1
10.18.20.97,8.208.24.139,80,40,0.001133,1
10.18.20.97,8.208.24.139,80,40,0.001095,1
10.18.20.97,8.208.24.139,80,40,0.001063,1
10.18.20.97,8.208.24.139,80,40,0.001058,1
10.18.20.97,8.208.24.139,80,40,0.001054,1
10.18.20.97,8.208.24.139,80,40,0.001049,1
10.18.20.97,8.208.24.139,80,40,0.001048,1
10.18.20.97,8.208.24.139,80,40,0.001046,1
10.18.20.97,8.208.24.139,80,40,0.000998,1
10.18.20.97,8.208.24.139,80,40,0.000983,1
10.18.20.97,8.208.24.139,80,40,0.000974,1
10.18.20.97,8.208.24.139,80,40,0.00095,1
10.18.20.97,8.208.24.139,80,40,0.000924,1
10.18.20.97,8.208.24.139,80,40,0.000912,1
10.18.20.97,8.208.24.139,80,40,0.00091,1
10.18.20.97,8.208.24.139,80,40,0.000908,1
10.18.20.97,8.208.24.139,80,40,0.000898,1
10.18.20.97,8.208.24.139,80,40,0.000897,1
10.18.20.97,8.208.24.139,80,40,0.000897,1
10.18.20.97,8.208.24.139,80,40,0.000864,1
10.18.20.97,8.208.24.139,80,40,0.000855,1
10.18.20.97,8.208.24.139,80,40,0.000844,1
10.18.20.97,8.208.24.139,80,40,0.000839,1
10.18.20.97,8.208.24.139,80,40,0.000825,1
10.18.20.97,8.208.24.139,80,40,0.000825,1
10.18.20.97,8.208.24.139,80,40,0.000825,1
10.18.20.97,8.208.24.139,80,40,0.000817,1
10.18.20.97,8.208.24.139,80,40,0.000792,1
10.18.20.97,8.208.24.139,80,40,0.000779,1
10.18.20.97,8.208.24.139,80,40,0.000776,1
10.18.20.97,8.208.24.139,80,40,0.000775,1
10.18.20.97,8.208.24.139,80,40,0.000773,1
10.18.20.97,8.208.24.139,80,40,0.000768,1
10.18.20.97,8.208.24.139,80,40,0.000764,1
10.18.20.97,8.208.24.139,80,40,0.000756,1
10.18.20.97,8.208.24.139,80,40,0.000751,1
10.18.20.97,8.208.24.139,80,40,0.000749,1
10.18.20.97,8.208.24.139,80,40,0.000739,1
10.18.20.97,8.208.24.139,80,40,0.000738,1
10.18.20.97,8.208.24.139,80,40,0.000738,1
10.18.20.97,8.208.24.139,80,40,0.000723,1
10.18.20.97,8.208.24.139,80,40,0.00072,1
10.18.20.97,8.208.24.139,80,40,0.000718,1
10.18.20.97,8.208.24.139,80,40,0.000717,1
10.18.20.97,8.208.24.139,80,40,0.000709,1
10.18.20.97,8.208.24.139,80,40,0.000706,1
10.18.20.97,8.208.24.139,80,40,0.000695,1
10.18.20.97,8.208.24.139,80,40,0.000693,1
10.18.20.97,8.208.24.139,80,40,0.000691,1
10.18.20.97,8.208.24.139,80,40,0.000689,1
10.18.20.97,8.208.24.139,80,40,0.000673,1
10.18.20.97,8.208.24.139,80,40,0.000653,1
10.18.20.97,8.208.24.139,80,40,0.000641,1
10.18.20.97,8.208.24.139,80,40,0.000635,1
10.18.20.97,8.208.24.139,80,40,0.000633,1
10.18.20.97,8.208.24.139,80,40,0.00063,1
10.18.20.97,8.208.24.139,80,40,0.000629,1
10.18.20.97,8.208.24.139,80,40,0.000626,1
10.18.20.97,8.208.24.139,80,40,0.00061,1
10.18.20.97,8.208.24.139,80,40,0.000606,1
10.18.20.97,8.208.24.139,80,40,0.000603,1
10.18.20.97,8.208.24.139,80,40,0.000592,1
10.18.20.97,8.208.24.139,80,40,0.000589,1
10.18.20.97,8.208.24.139,80,40,0.000577,1
10.18.20.97,8.208.24.139,80,40,0.000575,1
10.18.20.97,8.208.24.139,80,40,0.000574,1
10.18.20.97,8.208.24.139,80,40,0.000572,1
10.18.20.97,8.208.24.139,80,40,0.000571,1
10.18.20.97,8.208.24.139,80,40,0.000565,1
10.18.20.97,8.208.24.139,80,40,0.000565,1
10.18.20.97,8.208.24.139,80,40,0.00056,1
10.18.20.97,8.208.24.139,80,40,0.000552,1
10.18.20.97,8.208.24.139,80,40,0.000549,1
10.18.20.97,8.208.24.139,80,40,0.000548,1
10.18.20.97,8.208.24.139,80,40,0.000545,1
10.18.20.97,8.208.24.139,80,40,0.000536,1
10.18.20.97,8.208.24.139,80,40,0.000535,1
10.18.20.97,8.208.24.139,80,40,0.000532,1
10.18.20.97,8.208.24.139,80,40,0.000531,1
10.18.20.97,8.208.24.139,80,40,0.000528,1
10.18.20.97,8.208.24.139,80,40,0.000516,1
10.18.20.97,8.208.24.139,80,40,0.000499,1
10.18.20.97,8.208.24.139,80,40,0.000496,1
10.18.20.97,8.208.24.139,80,40,0.000495,1
